"sub","PID","indppt_rmse","indppt_rmse_rate","indppt_rmse_pred","vol","stoch","cond"
"16","707","5.2275","4.7385","5.6855","H","H","HVHS"
"22","715","6.2567","5.0321","7.3024","H","H","HVHS"
"14","704","9.3144","8.3315","10.2248","H","H","HVHS"
"7","601","9.9179","7.1022","12.1456","H","H","HVHS"
"4","505","10.6378","7.239","13.2469","H","H","HVHS"
"20","712","10.7789","9.5737","11.8888","H","H","HVHS"
"1","501","10.9056","10.8191","10.9936","H","H","HVHS"
"21","713","10.9441","9.2267","12.4622","H","H","HVHS"
"5","506","11.014","7.2649","13.8418","H","H","HVHS"
"23","716","11.2666","7.9461","13.8697","H","H","HVHS"
"15","706","11.3273","10.4892","12.1269","H","H","HVHS"
"13","703","11.8706","11.8441","11.8977","H","H","HVHS"
"27","721","11.972","7.4051","15.3","H","H","HVHS"
"25","719","12.6488","8.7867","15.6493","H","H","HVHS"
"11","701","12.7063","9.6199","15.2356","H","H","HVHS"
"24","717","12.7389","7.7021","16.3669","H","H","HVHS"
"9","604","12.813","11.0431","14.4042","H","H","HVHS"
"26","720","13.8003","8.6522","17.5783","H","H","HVHS"
"3","503","13.832","12.942","14.6889","H","H","HVHS"
"12","702","14.2148","11.9549","16.2085","H","H","HVHS"
"8","603","14.4764","11.9714","16.6589","H","H","HVHS"
"2","502","15.0514","13.7975","16.2373","H","H","HVHS"
"6","507","15.122","9.583","19.2101","H","H","HVHS"
"19","710","15.6347","15.5802","15.6904","H","H","HVHS"
"18","709","15.7287","12.6315","18.3707","H","H","HVHS"
"10","605","16.7147","15.2795","18.0686","H","H","HVHS"
"17","708","18.0147","15.4122","20.341","H","H","HVHS"
"22","715","5.7664","5.0016","6.4574","H","L","HVLS"
"21","713","6.8573","6.4538","7.2478","H","L","HVLS"
"16","707","7.0068","6.4056","7.574","H","L","HVLS"
"3","503","7.549","6.9815","8.0898","H","L","HVLS"
"14","704","7.7733","7.4049","8.1338","H","L","HVLS"
"4","505","7.9024","7.2279","8.5391","H","L","HVLS"
"27","721","7.985","8.505","7.4139","H","L","HVLS"
"7","601","8.5924","8.1597","9.0146","H","L","HVLS"
"26","720","8.7874","7.5247","9.9169","H","L","HVLS"
"24","717","8.8072","6.5454","10.6387","H","L","HVLS"
"15","706","8.9782","9.2706","8.6681","H","L","HVLS"
"9","604","9.9164","8.7156","11.0129","H","L","HVLS"
"5","506","10.0041","8.0439","11.6777","H","L","HVLS"
"23","716","10.0441","6.3886","12.7473","H","L","HVLS"
"25","719","10.7814","9.7402","11.7538","H","L","HVLS"
"12","702","11.6098","10.2038","12.8935","H","L","HVLS"
"1","501","12.0687","10.99","13.083","H","L","HVLS"
"17","708","12.1939","10.74","13.5237","H","L","HVLS"
"2","502","12.9353","11.2016","14.4996","H","L","HVLS"
"20","712","13.1084","12.47","13.7323","H","L","HVLS"
"10","605","13.4716","13.2323","13.7127","H","L","HVLS"
"11","701","13.6497","13.2845","14.0143","H","L","HVLS"
"18","709","13.8946","14.5256","13.2162","H","L","HVLS"
"8","603","14.463","14.6943","14.2217","H","L","HVLS"
"6","507","14.8277","12.5567","16.8418","H","L","HVLS"
"13","703","15.0116","14.311","15.6978","H","L","HVLS"
"19","710","17.4734","16.038","18.8323","H","L","HVLS"
"16","707","6.4619","5.5881","7.2495","L","H","LVHS"
"22","715","7.7446","7.2281","8.2408","L","H","LVHS"
"7","601","7.7465","6.0131","9.1908","L","H","LVHS"
"26","720","8.6637","8.6716","8.6556","L","H","LVHS"
"21","713","8.7522","6.052","10.8444","L","H","LVHS"
"4","505","9.459","7.451","11.1489","L","H","LVHS"
"5","506","10.1346","9.5425","10.7079","L","H","LVHS"
"27","721","10.6701","7.8068","12.9659","L","H","LVHS"
"14","704","10.9778","9.5737","12.2518","L","H","LVHS"
"24","717","11.1877","8.0806","13.6591","L","H","LVHS"
"25","719","11.3588","10.7682","11.9343","L","H","LVHS"
"9","604","11.6289","9.9021","13.1668","L","H","LVHS"
"6","507","12.3957","7.8677","15.7404","L","H","LVHS"
"17","708","12.9367","11.145","14.5469","L","H","LVHS"
"15","706","13.0745","12.8765","13.2746","L","H","LVHS"
"11","701","13.2617","11.9585","14.4769","L","H","LVHS"
"3","503","13.2926","11.9079","14.5769","L","H","LVHS"
"2","502","13.7085","13.272","14.1422","L","H","LVHS"
"8","603","14.4265","14.2644","14.591","L","H","LVHS"
"1","501","14.5853","13.3355","15.7646","L","H","LVHS"
"20","712","14.7909","12.7499","16.6259","L","H","LVHS"
"13","703","15.4829","14.9839","15.9785","L","H","LVHS"
"18","709","16.2634","12.8745","19.1253","L","H","LVHS"
"12","702","17.1633","17.3623","16.9567","L","H","LVHS"
"23","716","17.5694","15.3858","19.5574","L","H","LVHS"
"10","605","17.8521","13.8332","21.1967","L","H","LVHS"
"19","710","23.0123","17.9921","27.2157","L","H","LVHS"
"22","715","5.3133","4.7655","5.8218","L","L","LVLS"
"16","707","5.3137","5.1321","5.4938","L","L","LVLS"
"5","506","6.1061","5.2996","6.8351","L","L","LVLS"
"7","601","7.2064","6.3806","7.9649","L","L","LVLS"
"24","717","7.522","7.0805","7.9493","L","L","LVLS"
"21","713","7.5751","6.6919","8.3849","L","L","LVLS"
"15","706","7.9331","7.0267","8.7659","L","L","LVLS"
"26","720","8.6846","7.751","9.5479","L","L","LVLS"
"14","704","8.9245","10.4109","7.083","L","L","LVLS"
"25","719","9.0187","8.5628","9.4635","L","L","LVLS"
"6","507","9.2623","7.6443","10.67","L","L","LVLS"
"13","703","9.4183","9.5626","9.268","L","L","LVLS"
"4","505","9.6892","8.9398","10.402","L","L","LVLS"
"18","709","10.2596","9.6042","10.8909","L","L","LVLS"
"27","721","10.3849","9.5846","11.1462","L","L","LVLS"
"20","712","10.6694","11.0477","10.2669","L","L","LVLS"
"1","501","11.1696","12.146","10.0702","L","L","LVLS"
"3","503","11.2092","10.3248","12.049","L","L","LVLS"
"17","708","12.7397","11.1259","14.2058","L","L","LVLS"
"9","604","13.612","10.8976","15.9223","L","L","LVLS"
"23","716","13.8886","11.823","15.7279","L","L","LVLS"
"11","701","14.9745","13.4419","16.3983","L","L","LVLS"
"10","605","15.4222","14.6299","16.1946","L","L","LVLS"
"19","710","16.4556","15.1491","17.6957","L","L","LVLS"
"2","502","18.4293","15.5892","20.9459","L","L","LVLS"
"8","603","19.3107","20.2008","18.353","L","L","LVLS"
"12","702","22.4909","23.2103","21.7284","L","L","LVLS"
